Identifier	Correct	P1 (Q1)	P1 (Q2)	P1 (Q3)	P1 (Q4)	P1 (Q5)	P1 (Q6)	P1 (Q7)	P1 (Q8)	P1 (Q9)	P1 (Q10)	P2 (Q1)	P2 (Q2)	P2 (Q3)	P2 (Q4)	P2 (Q5)	P2 (Q6)	P2 (Q7)	P2 (Q8)	P2 (Q9)	P2 (Q10)	P3 (Q1)	P3 (Q2)	P3 (Q3)	P3 (Q4)	P3 (Q5)	P3 (Q6)	P3 (Q7)	P3 (Q8)	P3 (Q9)	P3 (Q10)	P4 (Q1)	P4 (Q2)	P4 (Q3)	P4 (Q4)	P4 (Q5)	P4 (Q6)	P4 (Q7)	P4 (Q8)	P4 (Q9)	P4 (Q10)
30	"P1 (Q1),P1 (Q6),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q8),P3 (Q9),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	E	"A, C"	break 56	"h
l
!"	B	E	"B, D"	"D, E"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 24, 34, 21, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	6	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	13	4	5	B	C	"C, E"
31	"P1 (Q3),P1 (Q5),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q8),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9)"	"2
5"	D	"A, B, C"	break 56	hlo	"A, B"	D	"B, C, D"	G		44	6	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 24, 34, 21, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	4	B	C	"A, B, C, D, E"
32	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P2 (Q1),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9)"	"5
3"	D	"A, B, C"	break 56	hlo	"B, C"	E				44	49	1	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	3	B	C	"C, D"
33	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q6),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P4 (Q1),P4 (Q4),P4 (Q8)"	"5
3"	D	"A, B, C"	b 56	"h
l
o"	B	E	"B, D"	"A, B, C, F"		44	50	2	"A, C, D"	B	"E, C, L, B, F, A, G"	B	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	5	"MAD
MID
MIDTERM
MIND
MINT"	C	5	4	9	6	9	B	B	E
34	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	break 56	"h
l
o"	B	E	"B, C, D"	"A, B, F"		44	50	2	"A, B, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	9	4	5	B	C	"C, E"
35	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	b 56	hlo	B	E	"B, C, D"	"A, B, C, E, F"		45	48	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	9	B	E	"C, E"
36	"P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
5"	D	"A, B, C"	br myprogram.cpp:56	hlo	"B, C, D"	D	"C, D"	"A, B, C, E, F"		44	49	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	2	"13, 12, 18, 5, 15, 26"	2	1	"A, B, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	8	"MAD
MID
MIDTERM
MINT
MIND"	"B, D"	4	4	10	4	9	B	C	"C, E"
37	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	break 56	"h
l
o"	B	E	"B, C, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	5	B	C	"C, E"
38	"P1 (Q1),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	D	"A, B, C"	break myprogram.cpp:56	"h
l
o"	"B, C"	E	"A, B"	"A, B, C, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 26, 5, 15, 18"	2	1	C	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	4	B	C	"C, E"
39	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q6),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P3 (Q1),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q7),P4 (Q9)"	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l
o"	B	D	"B, C, D"	"A, B, C, E, F"		44	50	2	"A, B, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	C	"A, C, D"	1	"13, 12, 26, 5, 18, 15"	2	1	"A, B, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	F	8	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	12	4	4	E	C	"C, D, E"
40	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l
o"	B	E	"B, C, D"	"B, F"		44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	B	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	C	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	3	B	C	"C, E"
41	"P1 (Q1),P1 (Q2),P1 (Q4),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, C"	break myprogram.cpp:56	"h
l
o"	B	E	"B, C, D"	"A, B, C, E, F"		0	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	C	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	3	1	"A, B"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D, E"	7	"Mad
Mid
Midterm
Mind
Mint"	B	4	4	10	4	5	B	C	"C, E"
42	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	D	"A, B, C"	break 56	"h
l
o"	"A, B, C"	E	"B, C, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	8	4	6	B	C	"C, E"
43	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8)"	"5
3"	"D, E"	"A, B, C"	b myprogram.cpp:56	"h
l
o"	"B, C"	E	"B, C, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	1	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	4	9	B	E	C
44	"P1 (Q1),P1 (Q2),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q6),P2 (Q7),P2 (Q10),P3 (Q4),P3 (Q5),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8)"	"5
3"	"D, E"	D	break myprogram.cpp: 56	"h
l
o"	C	E	"B, C, D"	"A, C, E"			50	2	"A, C, D"	B	"E, C, L, B, F, A, G"	C	B	1	B	"C, D"	2	"13, 12, 26, 18, 5, 15"	2	1	E		"34, 26, 54, 21, 28, 30"	A	9	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	5	B	E	"A, C, E"
45	"P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
5"	"D, E"	"A, B, C"	break 56	"h
l
o"	B	E	"B, C, D"	"A, B, F"		43	50	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	C	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	4	5	B	C	"C, E"
46	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q7),P2 (Q8),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q8),P4 (Q9)"	"5
3"	E	"A, B, C"	break 56	"h
l
o"	C	E	"A, D"	"A, B, C, F"		44	99	2	"A, C, D"	D	"E, C, G, B, F, L, A"	C	A	3	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"C, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"C, D, E"	6	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	9	5	5	B	C	"A, C"
47	"P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q9),P2 (Q10),P3 (Q4),P3 (Q6),P3 (Q10),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"2
3"	E	"A, B, C"	break 56	"h
l
o"	B	E	"A, B, D"	"A, B, C, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	C	2	B	"A, C"	4	"13, 12, 26, 5, 15, 18"	2	2	"A, C"	"34, 24, 54, 26, 21, 28"	"34, 26, 54, 21, 28, 30"	"A, B, C, D, E"	7	"MAD
MID
MIDTERM
MINT
MIND"	"B, D"	4	4	10	4	3	B	C	"C, E"
48	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q3),P2 (Q4),P2 (Q8),P2 (Q9),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q7),P4 (Q8),P4 (Q9)"	"5
3"	"D, E"	"A, B, C"	break 56	"h
l
o"	"B, C"	E	"A, C, D"	"A, B, C, E, F"		17	7	2	"A, C, D"	"B, D, E"	"E, C, F, B, G, L, A"	B	A	2	D	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, B, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"D, E"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	7	5	4	B	C	"C, D"
49	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q2),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l
o"	"B, D"	E	"B, C, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	B	4	4	10	4	5	B	C	"C, E"
50	"P1 (Q1),P1 (Q2),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q8),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P4 (Q1),P4 (Q3),P4 (Q4)"	"5
3"	"D, E"	"A, B, C"	break myprogram.cpp:56	"h
l
o"	"A, B, D"	E	"B, C, D"	"A, B, C, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	C	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, D"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	9	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	9	3	7			
51	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q9),P3 (Q10),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9)"	"5
3"	D	"A, B, C"	break myprogram.cpp 56	"h
l
o"	C	C	"A, B, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, B, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 21, 34, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MINT
MIND"	"B, D"	4	4	24	4	4	B	C	"B, C, E"
52	"P1 (Q3),P1 (Q4),P1 (Q5),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9),P4 (Q10)"			"A, B, C"	break myprogram.cpp:56	"h
l
o"						44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	A					"mad
mid
midterm
mind
mint"	"B, D"	4	4	10	4	8	B	C	"C, E"
53	"P1 (Q1),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q8),P4 (Q9)"	"5
3"	D	A	b 56	"h
l
o"	D	E	"B, C, D"	"A, B, C, E, F"		44	49	2	"A, C, D"	"B, D"	"E, C, G, B, F, L, A"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	8	B	C	"A, C, E"
54	"P1 (Q1),P1 (Q2),P1 (Q5),P1 (Q7),P1 (Q10),P2 (Q1),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9)"	"5
3"	"D, E"	"B, C"	break 56	"h
l
o"	"B, D"	E	"C, D"	"A, B, E, F"		44	49	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	3	3	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"MAD
MID
MIDTERM
MIND
MINT"	"B, D"	4	4	10	4	4	B	C	"A, C, D, E"
55	"P1 (Q1),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q6),P3 (Q7),P3 (Q8),P3 (Q9),P3 (Q10),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q7)"	"5
3"	"A, B, C, D"	"A, B, C"	b myprogram.cpp:56	"h
l
o"	B	E	"B, C, D"	"A, B, C, E, F"		44	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, C"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	7	"mad
mid
midterm
mind
mint"	"B, D"	4	4	8	4	4			
56	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q6),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q1),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q3),P3 (Q7),P3 (Q8),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q7),P4 (Q8),P4 (Q9)"	"5
3"	D	"A, B, C"	b 56	"h
l
o"	B	E	"B, C, D"	"A, B, C, D, E, F"		44	50	2	"A, C, D"	"B, C, D, E"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	2	"13, 12, 18, 5, 15, 26"	1	2	C	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D, E"	6	"MAD
MID
MIDTERM
MINT
MIND"	D	4	4	19	4	4	B	C	"C, D, E"
57	"P1 (Q1),P1 (Q3),P1 (Q5),P1 (Q8),P1 (Q10),P2 (Q4),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P4 (Q3),P4 (Q4),P4 (Q6),P4 (Q8)"	"5
3"	E	"A, B, C"	break 56	"h
l
o"	"A, B"	D	"B, C, D"	"A, B, C, E, F"		0	51	0	"A, C, D"	"B, D, E"	"E, C, L, B, F, A, G"	C	A	2	B	"C, D"	2	"13, 12, 18, 5, 15, 26"	2	1	A	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, C, D"	4	"mad
mid
midterm
mind
mint"	"B, D"	4	4	24	4	5	B	D	"C, D, E"
58	"P1 (Q1),P1 (Q3),P1 (Q4),P1 (Q5),P1 (Q7),P1 (Q8),P1 (Q10),P2 (Q2),P2 (Q3),P2 (Q4),P2 (Q5),P2 (Q6),P2 (Q7),P2 (Q8),P2 (Q9),P2 (Q10),P3 (Q1),P3 (Q2),P3 (Q3),P3 (Q4),P3 (Q5),P3 (Q7),P3 (Q8),P3 (Q9),P4 (Q1),P4 (Q3),P4 (Q4),P4 (Q5),P4 (Q6),P4 (Q9),P4 (Q10)"	"5
3"	D	"A, B, C"	break myprogram.cpp:56	"h
l
o"	E	E	"B, C, D"	"A, B, C, E, F"		43	50	2	"A, C, D"	"B, D"	"E, C, L, B, F, A, G"	C	A	2	B	"A, C, D"	3	"13, 12, 18, 5, 15, 26"	2	1	"A, B"	"26, 21, 34, 24, 28, 54"	"28, 26, 34, 21, 30, 54"	"A, B, C, D"	4	"MAD
MID
MIDTERM
MIND
MINT"	C	4	4	10	4	5	A	C	"C, E"
